frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
107,3.533333333333333,4,4,17.004899971652776,58.80657937812062,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
108,3.566666666666667,4,4,18.405100039672107,54.332766344355896,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
109,3.6,4,4,16.59999997355044,60.24096395140645,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
110,3.6333333333333333,4,4,18.479300022590905,54.114603842001706,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
111,3.6666666666666665,4,4,18.625799973960966,53.688969139473684,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
112,3.7,4,4,21.21340000303462,47.14001526662147,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
113,3.7333333333333334,4,4,22.228099987842143,44.988100671985414,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
114,3.7666666666666666,4,4,20.350200007669628,49.139566177389796,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
115,3.8,4,4,18.80000001983717,53.191489305576134,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
116,3.8333333333333335,4,4,17.71099999314174,56.46208573131001,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
117,3.8666666666666667,4,4,18.43260001624003,54.25170616836207,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
118,3.9,4,4,16.24580001225695,61.55437092944214,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
119,3.933333333333333,4,4,16.298600006848574,61.35496297717632,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
120,3.966666666666667,4,4,17.360700003337115,57.60136398922726,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
121,4.0,4,4,19.968200009316206,50.07962658293927,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
122,4.033333333333333,4,4,18.397800042293966,54.354324848685174,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
